Genre,Total Webtoons,Average Subscribers,Average Grade,Total Completed,Average Chapters
Sports,13,481385,9.25,5,21
Horror,25,371672,9.41,17,29
Thriller,55,450733,9.42,31,17
Heartwarming,2,238224,9.69,2,54
Drama,95,382235,9.45,43,41
Romance,142,774622,9.35,54,29
Sci-fi,40,262365,9.36,24,118
Informative,7,182501,9.11,6,34
Supernatural,43,466782,9.42,24,80
Superhero,30,340268,8.85,22,51
Slice of life,56,301578,9.24,41,214
Fantasy,150,449534,9.5,47,70
Action,97,408696,9.39,18,28
Historical,5,285392,9.52,2,10
Mystery,15,257707,9.5,4,42
Comedy,64,353776,9.19,33,194
